"RecID";"FullName";"GD";"CalculatedDate";"BirthDate";"Description";"Mobile";"Landline";"Email";"dpadirectmailingoptoutcode";"dpaemailoptoutcode";"dpatelephonecommunicationoptoutcode";"titleCode";"SourceName";"SourceLayerName";"tmp_RuleConditionMet";"tmp_PreviousRuleConditionMet";"tmp_PreviousRuleCodeLA";"tmp_RuleCodeLA";"DQM_Score";"DQM_GlobalRecordID";"DQM_RecordID";"DQM_RecordScore";"DQM_RecordExplanation";"DQM_RuleCodesApplied";"DQM_RuleCodesAppliedLA";"DQM_RuleCodesAppliedLAGuid";"DQM_RuleCodesAppliedMappings";"DQM_RuleCodesAppliedForFilter";"DQM_RuleCodesAppliedLAForFilter";"DQM_RuleCodesAppliedLAFiltered";"DQM_RuleCodesFailed";"DQM_RuleCodesFailedLA";"Ex_BeginAggregation"
79;"Mrs Sar Maragret";;"4038-11-20";"4038-11-21";;;"44-795-551-8769,44-765-558-4808";;"1";"4";"3";"Z051";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:79";"79";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"b86fc861-ac43-4a71-956d-7905cad29b94 165b2a13-c987-44b9-a568-407f5be0fa65 0b6740e0-d96d-43a1-84ab-6167a57779c6 e16c1023-40fe-40ac-8d21-de817358d791";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
81;"Mrs Nicol Lowthert";;"2001.07.01";"2001.07.01";;;"44-755-552-2006";;"2";"3";"4";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:81";"81";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"a48f5078-94bd-4f2c-8e51-d61f6d1684a2 ec6861b2-6418-4cfd-805b-a5e30c2c6cb8 7934a134-1a39-4646-82a6-e662a34d8ec0 80011c82-35be-40e3-93f2-dbe79c6b40a4";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
82;"Ms Babbin Tiffani";;"2001.07.01";"2001.07.01";;;"44-735-559-7587";;"3";"4";"2";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:82";"82";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"7474ecf9-daa9-4508-9ea6-ff0f47b08e6e ae363967-48fb-4965-89f2-eb66cafdd1b1 27f0d137-4306-47eb-8408-acd7b239ae42 ebf27bf3-90ea-450f-867d-b1e0e093afb8";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
87;"Alyson Haaz Mr";;;;;;"44-735-557-3619";"john.smith@.com";"3";"2";"1";"Z051";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:87";"87";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"710141dc-56f3-4a8e-bc2a-b527c703c7f7 adf9a735-8e8c-4d51-923e-2f6f7da9a620 22226371-fae4-4b06-88bd-348fb551e478 2c436772-648a-4881-91b6-7301b8ec8324";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
88;"Mrs Reichart Carlotta";;"1988-10-25";"1988-10-26";;;"44-775-559-0965";"john.smith@gmail.com";"3";"2";"3";"Z021";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:88";"88";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"29c1a993-63e1-40d0-8a24-1ea53e096ec4 2ac0e2bd-f1b7-41ac-a225-40258e940abe 24c45ddc-f6d0-4d20-823e-22540fd7b3dc 7c8d1a5d-a9d5-42f5-bc7b-e1fbbc37e5c8";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
94;"wyomi neles Ms";;"1993-03-04";"1993-03-05";;;"44-735-550-2117";;;;;"Z021";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:94";"94";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"d8df5be9-2185-4133-92ea-941f4405bc9f 3b0ca9c1-6b64-4f33-ab5a-0858bf94f1a9 0bd1c6b6-24e0-4eac-925f-c8205a99e99b fe97bc09-7918-40f7-bed5-e2f515a5ece0";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
100;"Mable Grill Ms";;"2003-12-06";"2003-12-06";;;"44-765-559-8242 44-775-558-4131";;;;;;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:100";"100";20;"COLUMN_NOT_POPULATED(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"255cbb00-0512-408b-9b09-f3ef3d7221de 9cb74596-04e4-4475-8131-f6e649d21b8b 56d9294a-6a29-4e18-8fca-dd6649af2a26 e1d0f3d2-4eda-4da9-9959-6c8cad76a76d";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";;"1 1";"1.GD 1.Mobile";
33;"Volle Elbert";"mal";"1940-02-9";"1940-02-10";"07801211963";;"44-735-550-8788";"john.smith@.com";"2";"3";"4";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:33";"33";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"c78ad598-ac56-44f2-86aa-d8d002759f4b 236ba94b-a893-4175-b0db-4dbfe81fc58a 3d63f2b7-69be-4dde-9ac1-0341eabc1626 8a1b3efb-c098-4dd7-a4ad-eb75af044642";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
37;"Fleisner Edward CIA";"M";"1949-12-17";"1949-12-18";;;"44-745-550-9499";"smith.john@gmail.com";"4";"2";"1";"Z046";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:37";"37";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"323cf1cf-ff16-4e31-ad1a-d768a2cfe25c 1c7bf69a-545f-4c01-a968-e995ad2af1c2 bf59990a-013e-4496-971d-bf92cb19799f 53435f17-ac9f-4943-a0f4-3976c844f9a3";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
43;"Shute Arlie";"mal";"1952-08-07";"1952-08-08";"07801211963";;"44-745-559-3650";"jane.watson@gmail.com";"4";"4";"3";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:43";"43";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"ce10b982-6d13-43df-8b79-8dfce57e689d 0ec0e3bf-d1f7-414d-b540-2d4054dedbcf 8a1b37b7-b373-4197-8788-72d1a77a8acf ba91b76c-0d38-44ab-99cf-33a1576c6777";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
48;"Nogoda Garth";"Mal";"1966-04-11";"1966-04-12";"07801211963";;"44-775-552-3230";"smith.john@gmail.com";;"4";;"Z051";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:48";"48";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"7cb44bbe-7e7a-4d62-9ed0-044288bc8294 13d5ed3c-3fc6-46e9-a52e-d0846248981d 4d0868e4-42f0-4d90-bb5c-26f282487f6f 426d1742-188b-479f-8a51-6ca43d2b00a7";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
64;"Hrabal Lucy";"F";"1957-10-10";"1957-10-11";;;"44-715-559-2709";"john.smith@.com";;;;;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:64";"64";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"8996ef11-46e4-440b-87ca-a50bc77f86e4 c2137a28-ed21-47e0-9233-cabb123b34a1 a1137e42-82da-4793-96bc-cb7768d76188 75e01a23-848b-4d79-b20f-ea7b1573691f";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
70;"Doerner Ema";"Female";"2003-10-04";"2003-10-05";;;"44-725-554-6676";;"4";"3";"3";"Z051";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:70";"70";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"783b18f6-8254-4ab1-aaea-7ac46e4d0a59 49aeab0f-be8f-4e88-a598-7bc0565102f8 152c61b1-ee38-4518-90f0-1369b86f5521 6096257d-5bed-48a3-9b76-ebd8a471f75e";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
72;"Lorretta Garavaglia";"Femail";"1975-01-19";"1975-01-20";;;"44-725-556-2404,44-765-558-4808";"jane.watson@gmail.com";;;"4";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:72";"72";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"0a0322ef-a3fe-45f0-9fbc-38b9359e7a61 9e00da64-dba2-4996-b6eb-6a5d849c9b96 a9b1e886-5426-41a9-933d-c212a920adff 0ecbdd97-ae3d-48ac-8674-0f0fecdc971e";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
73;"Cryderman Felton";"mail";"2001-01-01";"2001-01-02";;;"44-755-555-8274";"jane.watson@gmail.com";"2";"1";"2";;"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:73";"73";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"cb8b5d43-5bcc-4edf-8be3-f488a74f77a9 eb30a225-ea9f-4d91-9d36-c0c0e4901f9a ad55ab5d-dd4f-46c7-ac72-6f9ea5efa1ea 75a6bf23-75e0-41f8-a4a0-80b1737a4027";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
85;"Bockelmann Amalia";"fem";"1985-04-04";"1985-04-05";;;"44-775-550-7313";"jane.watson@gmail.com";"4";"2";"1";"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:85";"85";15;"INVALID_GENDER_VALUE(GD) COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"4dbdd40e-b224-4276-b462-c718c16777e9 fd9fac4e-0ddb-459c-8750-4321765399f8 646ae5e7-f456-40b4-bcf2-f179a85408eb 7903a4a8-5b02-45da-b3fb-841394efd234";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"4 1";"4.GD 1.Mobile";
91;"Magill Melodie";"f";"1949-03-29";"1949-03-30";;;"44-755-559-3560";"smith.john@gmail.com";;;;"Z049";"CRM";"CustomerTable";;;;"2.Mobile";;"CRM:CustomerTable:91";"91";10;"COLUMN_NOT_POPULATED(Mobile)";"1 4 1 2";"1.GD 4.GD 1.Mobile 2.Mobile";"43974ce2-9374-4e37-a7da-fbafb0daa0e5 d61fbfd4-d14e-436b-8a2b-e94c4822a8ae 9f0aa667-9fde-4620-a4df-3a365100eabd 2b73e9bb-d82b-4f7a-935f-2828fb615c1f";"1:GD:Rule_Attribute_1.GD 4:GD:Rule_Attribute_1.GD 1:Mobile:Rule_Attribute_1.Mobile 2:Mobile:Rule_Attribute_1.Mobile";"1*4 1*2";"1.GD*4.GD 1.Mobile*2.Mobile";"1.GD*4.GD";"1";"1.Mobile";
