"item-value";"item-index";"item-count";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName"
"1959-12-05";29;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1978-07-21";39;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"1989-05-03";48;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2001-06-14";58;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2001.07.01";59;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"2003-12-06";73;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"5.1.1982";86;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"NULL";95;;"true";"quantiles";"S_4";"STRING";"BirthDate";"in"
"07801211963";0;12;"true";"first_x";"S_5";"STRING";"Description";"in"
"HI:123456";12;13;"true";"first_x";"S_5";"STRING";"Description";"in"
"HI:123456";12;13;"true";"last_x";"S_5";"STRING";"Description";"in"
"07801211963";0;12;"true";"last_x";"S_5";"STRING";"Description";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"07801211963";0;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"HI:123456";12;;"true";"quantiles";"S_5";"STRING";"Description";"in"
"44 7700 900005";0;2;"true";"first_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900005 44 7700 900489";2;1;"true";"first_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900028";3;2;"true";"first_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900028 ,44 7700 900301";5;1;"true";"first_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900032";6;3;"true";"first_x";"S_6";"STRING";"Mobile";"in"
"447700 900696 , +447a01211963";97;1;"true";"last_x";"S_6";"STRING";"Mobile";"in"
"447700 900696 , +447801211963";96;1;"true";"last_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900991,44 7700 900059";95;1;"true";"last_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900991, 44 7700 900005";94;1;"true";"last_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900991 ,44 7700 900301";93;1;"true";"last_x";"S_6";"STRING";"Mobile";"in"
"44 7700 900005";0;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900038";9;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900147";17;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900198";29;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900350";38;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900480";46;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900525";56;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900556";66;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900696";78;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"44 7700 900945";85;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"447700 900696 , +447a01211963";97;;"true";"quantiles";"S_6";"STRING";"Mobile";"in"
"dr.john.smith@gmail.c";0;9;"true";"first_x";"S_7";"STRING";"Email";"in"
"jane.watson@gmail.com";9;18;"true";"first_x";"S_7";"STRING";"Email";"in"
"john.smith@.com";27;9;"true";"first_x";"S_7";"STRING";"Email";"in"
"john.smith@gmail.com";36;9;"true";"first_x";"S_7";"STRING";"Email";"in"
"john.w.smith@gmail.com";45;9;"true";"first_x";"S_7";"STRING";"Email";"in"
"smith.john@gmail.com";63;9;"true";"last_x";"S_7";"STRING";"Email";"in"
"john.will.smith@gmail.com";54;9;"true";"last_x";"S_7";"STRING";"Email";"in"
"john.w.smith@gmail.com";45;9;"true";"last_x";"S_7";"STRING";"Email";"in"
"john.smith@gmail.com";36;9;"true";"last_x";"S_7";"STRING";"Email";"in"
"john.smith@.com";27;9;"true";"last_x";"S_7";"STRING";"Email";"in"
"dr.john.smith@gmail.c";0;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"dr.john.smith@gmail.c";0;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"jane.watson@gmail.com";9;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"jane.watson@gmail.com";9;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"john.smith@.com";27;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"john.smith@.com";27;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"john.smith@gmail.com";36;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"john.w.smith@gmail.com";45;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"john.will.smith@gmail.com";54;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"smith.john@gmail.com";63;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"smith.john@gmail.com";63;;"true";"quantiles";"S_7";"STRING";"Email";"in"
"1";0;16;"true";"first_x";"S_8";"STRING";"directmailing";"in"
"2";16;12;"true";"first_x";"S_8";"STRING";"directmailing";"in"
"3";28;16;"true";"first_x";"S_8";"STRING";"directmailing";"in"
"4";44;28;"true";"first_x";"S_8";"STRING";"directmailing";"in"
"4";44;28;"true";"last_x";"S_8";"STRING";"directmailing";"in"
"3";28;16;"true";"last_x";"S_8";"STRING";"directmailing";"in"
"2";16;12;"true";"last_x";"S_8";"STRING";"directmailing";"in"
"1";0;16;"true";"last_x";"S_8";"STRING";"directmailing";"in"
"1";0;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"1";0;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"1";0;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"2";16;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"3";28;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"3";28;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"3";28;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"4";44;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"4";44;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"4";44;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"4";44;;"true";"quantiles";"S_8";"STRING";"directmailing";"in"
"1";0;8;"true";"first_x";"S_9";"STRING";"directemail";"in"
"2";8;12;"true";"first_x";"S_9";"STRING";"directemail";"in"
"3";20;16;"true";"first_x";"S_9";"STRING";"directemail";"in"
"4";36;40;"true";"first_x";"S_9";"STRING";"directemail";"in"
"4";36;40;"true";"last_x";"S_9";"STRING";"directemail";"in"
"3";20;16;"true";"last_x";"S_9";"STRING";"directemail";"in"
"2";8;12;"true";"last_x";"S_9";"STRING";"directemail";"in"
"1";0;8;"true";"last_x";"S_9";"STRING";"directemail";"in"
"1";0;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"1";0;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"2";8;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"3";20;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"3";20;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"4";36;;"true";"quantiles";"S_9";"STRING";"directemail";"in"
"1";0;20;"true";"first_x";"S_10";"STRING";"directtelephone";"in"
"2";20;16;"true";"first_x";"S_10";"STRING";"directtelephone";"in"
"3";36;20;"true";"first_x";"S_10";"STRING";"directtelephone";"in"
"4";56;20;"true";"first_x";"S_10";"STRING";"directtelephone";"in"
"4";56;20;"true";"last_x";"S_10";"STRING";"directtelephone";"in"
"3";36;20;"true";"last_x";"S_10";"STRING";"directtelephone";"in"
"2";20;16;"true";"last_x";"S_10";"STRING";"directtelephone";"in"
"1";0;20;"true";"last_x";"S_10";"STRING";"directtelephone";"in"
"1";0;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"1";0;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"1";0;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"2";20;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"2";20;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"3";36;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"3";36;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"3";36;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"4";56;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"4";56;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"4";56;;"true";"quantiles";"S_10";"STRING";"directtelephone";"in"
"title";0;1;"true";"first_x";"S_11";"STRING";"titleCode";"in"
"Z021";1;13;"true";"first_x";"S_11";"STRING";"titleCode";"in"
"Z046";14;13;"true";"first_x";"S_11";"STRING";"titleCode";"in"
"Z049";27;13;"true";"first_x";"S_11";"STRING";"titleCode";"in"
"Z050";40;13;"true";"first_x";"S_11";"STRING";"titleCode";"in"
"Z051";53;13;"true";"last_x";"S_11";"STRING";"titleCode";"in"
"Z050";40;13;"true";"last_x";"S_11";"STRING";"titleCode";"in"
"Z049";27;13;"true";"last_x";"S_11";"STRING";"titleCode";"in"
"Z046";14;13;"true";"last_x";"S_11";"STRING";"titleCode";"in"
"Z021";1;13;"true";"last_x";"S_11";"STRING";"titleCode";"in"
"title";0;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z021";1;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z021";1;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z046";14;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z046";14;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z049";27;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z049";27;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z050";40;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z050";40;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z051";53;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
"Z051";53;;"true";"quantiles";"S_11";"STRING";"titleCode";"in"
