"item-value";"stat-multiple";"stat-type";"ProfileInternalColumnName";"ProfileSourceAttributeType";"ProfileSourceAttributeName";"ProfileInputName"
"2";"false";"non_unique";"S_5";"STRING";"Description";"in"
"23";"false";"duplicate";"S_5";"STRING";"Description";"in"
"100";"false";"count";"S_6";"STRING";"Mobile";"in"
"2";"false";"count_nulls";"S_6";"STRING";"Mobile";"in"
"98";"false";"count_not_nulls";"S_6";"STRING";"Mobile";"in"
"55";"false";"distinct";"S_6";"STRING";"Mobile";"in"
"29";"false";"unique";"S_6";"STRING";"Mobile";"in"
"44 7700 900005";"false";"min";"S_6";"STRING";"Mobile";"in"
"447700 900696 , +447a01211963";"false";"max";"S_6";"STRING";"Mobile";"in"
"44 7700 900480";"false";"median";"S_6";"STRING";"Mobile";"in"
"14";"false";"min_positive_length";"S_6";"STRING";"Mobile";"in"
"14";"false";"min_length";"S_6";"STRING";"Mobile";"in"
"30";"false";"max_length";"S_6";"STRING";"Mobile";"in"
"17.5918367347";"false";"avg_length";"S_6";"STRING";"Mobile";"in"
"14";"false";"median_length";"S_6";"STRING";"Mobile";"in"
"26";"false";"non_unique";"S_6";"STRING";"Mobile";"in"
"43";"false";"duplicate";"S_6";"STRING";"Mobile";"in"
"100";"false";"count";"S_7";"STRING";"Email";"in"
"28";"false";"count_nulls";"S_7";"STRING";"Email";"in"
"72";"false";"count_not_nulls";"S_7";"STRING";"Email";"in"
"7";"false";"distinct";"S_7";"STRING";"Email";"in"
"0";"false";"unique";"S_7";"STRING";"Email";"in"
"dr.john.smith@gmail.c";"false";"min";"S_7";"STRING";"Email";"in"
"smith.john@gmail.com";"false";"max";"S_7";"STRING";"Email";"in"
"john.smith@gmail.com";"false";"median";"S_7";"STRING";"Email";"in"
"15";"false";"min_positive_length";"S_7";"STRING";"Email";"in"
"15";"false";"min_length";"S_7";"STRING";"Email";"in"
"25";"false";"max_length";"S_7";"STRING";"Email";"in"
"20.625";"false";"avg_length";"S_7";"STRING";"Email";"in"
"21";"false";"median_length";"S_7";"STRING";"Email";"in"
"7";"false";"non_unique";"S_7";"STRING";"Email";"in"
"65";"false";"duplicate";"S_7";"STRING";"Email";"in"
"100";"false";"count";"S_8";"STRING";"directmailing";"in"
"28";"false";"count_nulls";"S_8";"STRING";"directmailing";"in"
"72";"false";"count_not_nulls";"S_8";"STRING";"directmailing";"in"
"4";"false";"distinct";"S_8";"STRING";"directmailing";"in"
"0";"false";"unique";"S_8";"STRING";"directmailing";"in"
"1";"false";"min";"S_8";"STRING";"directmailing";"in"
"4";"false";"max";"S_8";"STRING";"directmailing";"in"
"3";"false";"median";"S_8";"STRING";"directmailing";"in"
"1";"false";"min_positive_length";"S_8";"STRING";"directmailing";"in"
"1";"false";"min_length";"S_8";"STRING";"directmailing";"in"
"1";"false";"max_length";"S_8";"STRING";"directmailing";"in"
"1";"false";"avg_length";"S_8";"STRING";"directmailing";"in"
"1";"false";"median_length";"S_8";"STRING";"directmailing";"in"
"4";"false";"non_unique";"S_8";"STRING";"directmailing";"in"
"68";"false";"duplicate";"S_8";"STRING";"directmailing";"in"
"100";"false";"count";"S_9";"STRING";"directemail";"in"
"24";"false";"count_nulls";"S_9";"STRING";"directemail";"in"
"76";"false";"count_not_nulls";"S_9";"STRING";"directemail";"in"
"4";"false";"distinct";"S_9";"STRING";"directemail";"in"
"0";"false";"unique";"S_9";"STRING";"directemail";"in"
"1";"false";"min";"S_9";"STRING";"directemail";"in"
"4";"false";"max";"S_9";"STRING";"directemail";"in"
"4";"false";"median";"S_9";"STRING";"directemail";"in"
"1";"false";"min_positive_length";"S_9";"STRING";"directemail";"in"
"1";"false";"min_length";"S_9";"STRING";"directemail";"in"
"1";"false";"max_length";"S_9";"STRING";"directemail";"in"
"1";"false";"avg_length";"S_9";"STRING";"directemail";"in"
"1";"false";"median_length";"S_9";"STRING";"directemail";"in"
"4";"false";"non_unique";"S_9";"STRING";"directemail";"in"
"72";"false";"duplicate";"S_9";"STRING";"directemail";"in"
"100";"false";"count";"S_10";"STRING";"directtelephone";"in"
"24";"false";"count_nulls";"S_10";"STRING";"directtelephone";"in"
"76";"false";"count_not_nulls";"S_10";"STRING";"directtelephone";"in"
"4";"false";"distinct";"S_10";"STRING";"directtelephone";"in"
"0";"false";"unique";"S_10";"STRING";"directtelephone";"in"
"1";"false";"min";"S_10";"STRING";"directtelephone";"in"
"4";"false";"max";"S_10";"STRING";"directtelephone";"in"
"3";"false";"median";"S_10";"STRING";"directtelephone";"in"
"1";"false";"min_positive_length";"S_10";"STRING";"directtelephone";"in"
"1";"false";"min_length";"S_10";"STRING";"directtelephone";"in"
"1";"false";"max_length";"S_10";"STRING";"directtelephone";"in"
"1";"false";"avg_length";"S_10";"STRING";"directtelephone";"in"
"1";"false";"median_length";"S_10";"STRING";"directtelephone";"in"
"4";"false";"non_unique";"S_10";"STRING";"directtelephone";"in"
"72";"false";"duplicate";"S_10";"STRING";"directtelephone";"in"
"100";"false";"count";"S_11";"STRING";"titleCode";"in"
"34";"false";"count_nulls";"S_11";"STRING";"titleCode";"in"
"66";"false";"count_not_nulls";"S_11";"STRING";"titleCode";"in"
"6";"false";"distinct";"S_11";"STRING";"titleCode";"in"
"1";"false";"unique";"S_11";"STRING";"titleCode";"in"
"title";"false";"min";"S_11";"STRING";"titleCode";"in"
"Z051";"false";"max";"S_11";"STRING";"titleCode";"in"
"Z049";"false";"median";"S_11";"STRING";"titleCode";"in"
"4";"false";"min_positive_length";"S_11";"STRING";"titleCode";"in"
"4";"false";"min_length";"S_11";"STRING";"titleCode";"in"
"5";"false";"max_length";"S_11";"STRING";"titleCode";"in"
"4.0151515152";"false";"avg_length";"S_11";"STRING";"titleCode";"in"
"4";"false";"median_length";"S_11";"STRING";"titleCode";"in"
"5";"false";"non_unique";"S_11";"STRING";"titleCode";"in"
"60";"false";"duplicate";"S_11";"STRING";"titleCode";"in"
"integer enum pattern";"false";"domain";"S_8";"STRING";"directmailing";"in"
"pattern";"false";"domain";"S_6";"STRING";"Mobile";"in"
"pattern";"false";"domain";"S_1";"STRING";"FullName";"in"
"enum pattern";"false";"domain";"S_5";"STRING";"Description";"in"
"day pattern";"false";"domain";"S_4";"STRING";"BirthDate";"in"
"integer enum pattern";"false";"domain";"S_9";"STRING";"directemail";"in"
"enum pattern";"false";"domain";"S_2";"STRING";"GD";"in"
"integer enum pattern";"false";"domain";"S_10";"STRING";"directtelephone";"in"
"enum pattern";"false";"domain";"S_11";"STRING";"titleCode";"in"
"day pattern";"false";"domain";"S_3";"STRING";"CalculatedDate";"in"
"enum pattern";"false";"domain";"S_7";"STRING";"Email";"in"
