"ProfileInternalColumnName";"ProfileInputName";"rollup_SourceAttributeName";"rollup_column";"rollup_name";"rollup_value";"count";"count_nulls";"count_not_nulls";"distinct";"unique";"min";"max";"median";"sum";"avg";"std";"var";"non_unique";"duplicate";"min_positive_length";"min_length";"max_length";"avg_length";"median_length";"domain";"ProfileSourceAttributeType";"ProfileSourceAttributeName"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"0";"2";"1";"0";"Mal";"Mal";"Mal";;;;;"1";"1";"3";"3";"3";"3";"3";"oneval pattern";"STRING";"GD"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"0";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directtelephone"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"85";"85";"85";"85";"85";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"1";"2";"2";"2";"Z021";"Z049";"Z049";;;;;"0";"0";"4";"4";"4";"4";"4";"enum pattern";"STRING";"titleCode"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"2";"2";"1940-02-10";"1952-08-08";"1952-08-08";;;;;"0";"0";"10";"10";"10";"10";"10";"day enum pattern";"STRING";"BirthDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directtelephone"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"0";"1";"1";"1";"2001-01-01";"2001-01-01";"2001-01-01";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"CalculatedDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"0";"1";"1";"1";"2";"2";"2";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directtelephone"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"null";"39";"2";"37";"19";"14";"01\\01\\1998";"NULL";"2001.07.01";;;;;"5";"18";"4";"4";"10";"9.6216216216";"10";"day enum pattern";"STRING";"CalculatedDate"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_6";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"2";"2";"44 7700 900483";"44 7700 900945";"44 7700 900945";;;;;"0";"0";"14";"14";"14";"14";"14";"enum pattern";"STRING";"Mobile"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"null";"39";"12";"27";"4";"0";"1";"4";"2";;;;;"4";"23";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"jane.watson@gmail.com";"jane.watson@gmail.com";"jane.watson@gmail.com";;;;;"0";"0";"21";"21";"21";"21";"21";"oneval pattern";"STRING";"Email"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"2";"2";"17";"38";"38";"55";"27.5";"10.5";"110.25";"0";"0";;;;;;"enum";"LONG";"RecID"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"0";"3";"3";"3";"Alease Cusworth";"Mr. Redler Ezequiel";"Cuculich Kristofer";;;;;"0";"0";"15";"15";"19";"17.3333333333";"18";"enum pattern";"STRING";"FullName"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"2";"2";"1";"3";"3";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_6";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"0";"1";"1";"1";"44 7700 900525";"44 7700 900525";"44 7700 900525";;;;;"0";"0";"14";"14";"14";"14";"14";"day oneval pattern";"STRING";"Mobile"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"f";"7";"1";"6";"2";"1";"2";"4";"4";;;;;"1";"4";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"m";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directemail"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"1981-01-12";"1981-01-12";"1981-01-12";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"CalculatedDate"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"Femail";"3";"1";"2";"2";"2";"2";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"1";"0";"2001.07.01";"2001.07.01";"2001.07.01";;;;;"1";"1";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"2";"2";"3";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"F";"16";"4";"12";"4";"1";"1";"4";"4";;;;;"3";"8";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"M";"7";"1";"6";"3";"1";"2";"4";"4";;;;;"2";"3";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directmailing"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"0";"3";"1";"0";"Mail";"Mail";"Mail";;;;;"1";"2";"4";"4";"4";"4";"4";"oneval pattern";"STRING";"GD"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"0";"1";"1";"1";"Male";"Male";"Male";;;;;"0";"0";"4";"4";"4";"4";"4";"oneval pattern";"STRING";"GD"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"jane.watson@gmail.com";"jane.watson@gmail.com";"jane.watson@gmail.com";;;;;"0";"0";"21";"21";"21";"21";"21";"oneval pattern";"STRING";"Email"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"1";"0";"1";"1";"1";;;;;"1";"1";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directtelephone"
"S_6";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"0";"3";"3";"3";"44 7700 900389";"44 7700 900556";"44 7700 900480";;;;;"0";"0";"14";"14";"14";"14";"14";"enum pattern";"STRING";"Mobile"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"f";"7";"0";"7";"7";"7";"Aguila Ammie";"Tryninewski Honey";"Condell Leandra";;;;;"0";"0";"12";"12";"17";"14.7142857143";"15";"enum pattern";"STRING";"FullName"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"f";"7";"1";"6";"4";"3";"1";"4";"3";;;;;"1";"2";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directmailing"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"m";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directmailing"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"1985-04-05";"1985-04-05";"1985-04-05";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"m";"1";"0";"1";"1";"1";"Laverne Clumpner";"Laverne Clumpner";"Laverne Clumpner";;;;;"0";"0";"16";"16";"16";"16";"16";"oneval pattern";"STRING";"FullName"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"0";"2";"2";"2";"Idiart Renaldo";"Nogoda Garth";"Nogoda Garth";;;;;"0";"0";"12";"12";"14";"13";"12";"enum pattern";"STRING";"FullName"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"F";"16";"0";"16";"16";"16";"Bail Gustavo DDS";"Whitney Bhatnagar";"Ms. Amy Coll O.D.";;;;;"0";"0";"8";"8";"17";"13.6875";"14";"enum pattern";"STRING";"FullName"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"F";"16";"5";"11";"3";"0";"1";"4";"3";;;;;"3";"8";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directmailing"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"M";"7";"1";"6";"3";"1";"1";"4";"4";;;;;"2";"3";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directmailing"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"M";"7";"0";"7";"7";"7";"Adam Whitman RPA";"Walter Rottinghaus";"Edythe Hodgen";;;;;"0";"0";"13";"13";"19";"15.2857142857";"14";"enum pattern";"STRING";"FullName"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"2";"2";"Shute Arlie";"Volle Elbert";"Volle Elbert";;;;;"0";"0";"11";"11";"12";"11.5";"11";"enum pattern";"STRING";"FullName"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"null";"39";"35";"4";"2";"0";"07801211963";"HI:123456";"HI:123456";;;;;"2";"2";"9";"9";"11";"10";"9";"enum pattern";"STRING";"Description"
"S_6";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"44 7700 900480";"44 7700 900480";"44 7700 900480";;;;;"0";"0";"14";"14";"14";"14";"14";"oneval pattern";"STRING";"Mobile"
"S_6";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"2";"2";"44 7700 900155";"44 7700 900991,44 7700 900059";"44 7700 900991,44 7700 900059";;;;;"0";"0";"14";"14";"29";"21.5";"14";"enum pattern";"STRING";"Mobile"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"0";"1";"1";"1";"john.smith@gmail.com";"john.smith@gmail.com";"john.smith@gmail.com";;;;;"0";"0";"20";"20";"20";"20";"20";"oneval pattern";"STRING";"Email"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"femal";"1";"0";"1";"1";"1";"1943-05-18";"1943-05-18";"1943-05-18";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"32";"32";"32";"32";"32";"0";"0";"0";"0";;;;;;"oneval";"LONG";"RecID"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"0";"1";"1";"1";"3";"3";"3";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"Female";"6";"1";"5";"3";"1";"Z021";"Z051";"Z046";;;;;"2";"2";"4";"4";"4";"4";"4";"enum pattern";"STRING";"titleCode"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"1";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directemail"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"2";"2";"Z049";"Z051";"Z051";;;;;"0";"0";"4";"4";"4";"4";"4";"enum pattern";"STRING";"titleCode"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"2";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directtelephone"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"2";"2";"2";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"1";"1";"1";"1";"07801211963";"07801211963";"07801211963";;;;;"0";"0";"11";"11";"11";"11";"11";"long oneval pattern";"STRING";"Description"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"2";"2";"3";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"2";"2";"3";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"Fem";"1";"0";"1";"1";"1";"1953-07-14";"1953-07-14";"1953-07-14";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"Female";"6";"2";"4";"3";"2";"2";"4";"3";;;;;"1";"1";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directtelephone"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"titleCode"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"phemail";"1";"0";"1";"1";"1";"1984-05-22";"1984-05-22";"1984-05-22";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"0";"1";"1";"1";"jane.watson@gmail.com";"jane.watson@gmail.com";"jane.watson@gmail.com";;;;;"0";"0";"21";"21";"21";"21";"21";"oneval pattern";"STRING";"Email"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"1";"1";"1";"1";"07801211963";"07801211963";"07801211963";;;;;"0";"0";"11";"11";"11";"11";"11";"long oneval pattern";"STRING";"Description"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"femle";"femle";"femle";;;;;"0";"0";"5";"5";"5";"5";"5";"oneval pattern";"STRING";"GD"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"jane.watson@gmail.com";"jane.watson@gmail.com";"jane.watson@gmail.com";;;;;"0";"0";"21";"21";"21";"21";"21";"oneval pattern";"STRING";"Email"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"1";"1";"1";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"Elizbeth Kazmer R.Ph";"Elizbeth Kazmer R.Ph";"Elizbeth Kazmer R.Ph";;;;;"0";"0";"20";"20";"20";"20";"20";"oneval pattern";"STRING";"FullName"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"1";"0";"07801211963";"07801211963";"07801211963";;;;;"1";"1";"11";"11";"11";"11";"11";"long oneval pattern";"STRING";"Description"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"mail";"1";"0";"1";"1";"1";"1";"1";"1";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directemail"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"mle";"2";"0";"2";"1";"0";"mle";"mle";"mle";;;;;"1";"1";"3";"3";"3";"3";"3";"oneval pattern";"STRING";"GD"
"S_2";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"FEMALE";"FEMALE";"FEMALE";;;;;"0";"0";"6";"6";"6";"6";"6";"oneval pattern";"STRING";"GD"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"0";"1";"1";"1";"1981-01-13";"1981-01-13";"1981-01-13";;;;;"0";"0";"10";"10";"10";"10";"10";"day oneval pattern";"STRING";"BirthDate"
"S_10";"in";"GD";"S_2";"ru_RollupOnGD";"femle";"1";"0";"1";"1";"1";"3";"3";"3";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directtelephone"
"S_9";"in";"GD";"S_2";"ru_RollupOnGD";"null";"39";"10";"29";"4";"0";"1";"4";"4";;;;;"4";"25";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directemail"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"2";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_5";"in";"GD";"S_2";"ru_RollupOnGD";"FEMALE";"1";"1";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Description"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"2";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"Email"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"2";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"titleCode"
"S_0";"in";"GD";"S_2";"ru_RollupOnGD";"Mail";"3";"0";"3";"3";"3";"68";"96";"71";"235";"78.3333333333";"12.5521135892";"157.5555555556";"0";"0";;;;;;"enum";"LONG";"RecID"
"S_3";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"0";"2";"2";"2";"1966-04-11";"2001-04-14";"2001-04-14";;;;;"0";"0";"10";"10";"10";"10";"10";"day enum pattern";"STRING";"CalculatedDate"
"S_1";"in";"GD";"S_2";"ru_RollupOnGD";"fem";"1";"0";"1";"1";"1";"Bockelmann Amalia";"Bockelmann Amalia";"Bockelmann Amalia";;;;;"0";"0";"17";"17";"17";"17";"17";"oneval pattern";"STRING";"FullName"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"2";"0";"0";"0";;;;;;;;"0";"0";"0";"0";"0";"0";"0";;"STRING";"directmailing"
"S_4";"in";"GD";"S_2";"ru_RollupOnGD";"male";"2";"0";"2";"2";"2";"1956-05-17";"1972-09-01";"1972-09-01";;;;;"0";"0";"10";"10";"10";"10";"10";"day enum pattern";"STRING";"BirthDate"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"Male";"1";"0";"1";"1";"1";"4";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer oneval pattern";"STRING";"directmailing"
"S_7";"in";"GD";"S_2";"ru_RollupOnGD";"fmale";"2";"0";"2";"2";"2";"dr.john.smith@gmail.c";"jane.watson@gmail.com";"jane.watson@gmail.com";;;;;"0";"0";"21";"21";"21";"21";"21";"enum pattern";"STRING";"Email"
"S_11";"in";"GD";"S_2";"ru_RollupOnGD";"Mal";"2";"1";"1";"1";"1";"Z051";"Z051";"Z051";;;;;"0";"0";"4";"4";"4";"4";"4";"oneval pattern";"STRING";"titleCode"
"S_8";"in";"GD";"S_2";"ru_RollupOnGD";"mal";"2";"0";"2";"2";"2";"2";"4";"4";;;;;"0";"0";"1";"1";"1";"1";"1";"integer enum pattern";"STRING";"directmailing"
